File: A01.ann	Ids: ['T29']	Spans: [{'start': 7666, 'end': 7750}]	Texts: ['Related research efforts have improved the speed and power of example-based skinning\n']
File: A30.ann	Ids: ['T42']	Spans: [{'start': 5460, 'end': 5551}]	Texts: ['Past work in graphics has extensively explored finite volume methods for tetrahedral meshes\n']
File: A31.ann	Ids: ['T44']	Spans: [{'start': 5755, 'end': 5816}]	Texts: ['Several improvements have been proposed to reduce instability\n']
File: A32.ann	Ids: ['T21', 'T22', 'T23', 'T24']	Spans: [{'start': 3445, 'end': 3490}, {'start': 3499, 'end': 3517}, {'start': 3532, 'end': 3554}, {'start': 3570, 'end': 3613}]	Texts: ['Accurate and fast collision detection methods\n', 'constraint methods\n', 'good deformable models\n', 'have proved to give quality cloth animation\n']
File: A33.ann	Ids: ['T299']	Spans: [{'start': 32390, 'end': 32478}]	Texts: ['Simulation and image based rendering both provide methods to generate animation of cloth\n']
File: A34.ann	Ids: ['T107', 'T112', 'T114']	Spans: [{'start': 10619, 'end': 10678}, {'start': 10700, 'end': 10743}, {'start': 10752, 'end': 10790}]	Texts: ['For rigid N-body collisions by graphics and robotics groups\n', 'and for flexible-rigid collision resolution\n', 'several approaches have been suggested\n']
File: A35.ann	Ids: ['T22', 'T27']	Spans: [{'start': 3436, 'end': 3519}, {'start': 3569, 'end': 3594}]	Texts: ['the implementation of these methods, which has already been carried out extensively\n', 'and with some adaptations\n']
File: A36.ann	Ids: ['T55', 'T54']	Spans: [{'start': 7134, 'end': 7260}, {'start': 7028, 'end': 7094}]	Texts: ['improve on this by splitting the material behavior into an initial, weakly elastic range and a stiff, quasi-inextensible limit\n', 'Bi-phasic models, typically implemented as strain limiting methods\n']
File: A37.ann	Ids: ['T34']	Spans: [{'start': 4386, 'end': 4452}]	Texts: ['The most general approach is to treat cloth as an elastic material\n']
File: A38.ann	Ids: ['T6']	Spans: [{'start': 2645, 'end': 2691}]	Texts: ['recent advances in cloth simulation techniques\n']
File: A38.ann	Ids: ['T39', 'T40']	Spans: [{'start': 5727, 'end': 5789}, {'start': 5803, 'end': 5841}]	Texts: ['Cloth self-collision is handled either by untangling the cloth\n', 'or by preemptively avoiding collisions\n']
File: A39.ann	Ids: ['T28', 'T34', 'T35']	Spans: [{'start': 4101, 'end': 4184}, {'start': 4233, 'end': 4258}, {'start': 4303, 'end': 4320}]	Texts: ['research on cloth simulation has generally relied on explicit numerical integration\n', 'to advance the simulation\n', 'analogous methods\n']
File: A40.ann	Ids: ['T23', 'T27', 'T31']	Spans: [{'start': 4494, 'end': 4540}, {'start': 4566, 'end': 4626}, {'start': 4651, 'end': 4707}]	Texts: ['Either special flow primitives can be combined\n', 'or visually pleasing functions introducing random turbulence\n', 'are taken into account to model even complex wind scenes\n']
